variable,variable_en,variable_bm,sex,year,mean,median,recipients
overall,Overall,Keseluruhan,overall,2010,1792.0,1300.0,8414600
overall,Overall,Keseluruhan,overall,2011,1809.0,1320.0,8983400
overall,Overall,Keseluruhan,overall,2012,1906.0,1450.0,9166200
overall,Overall,Keseluruhan,overall,2013,2023.0,1500.0,9540600
overall,Overall,Keseluruhan,overall,2014,2193.0,1500.0,10146600
overall,Overall,Keseluruhan,overall,2015,2312.0,1600.0,10150400
overall,Overall,Keseluruhan,overall,2016,2462.5948368305612,1703.0,10155900
overall,Overall,Keseluruhan,overall,2017,2650.0,1880.0,10516900
overall,Overall,Keseluruhan,overall,2018,2841.5584281432034,2066.0,10494800
overall,Overall,Keseluruhan,overall,2019,2989.359918155756,2185.0,10955300
overall,Overall,Keseluruhan,overall,2020,2747.0,1894.0,10972000
overall,Overall,Keseluruhan,overall,2021,2843.6,1984.0,11164900
citizen,Citizen,Warganegara,overall,2010,1936.0,1500.0,7149200
citizen,Citizen,Warganegara,overall,2011,1959.0,1500.0,7634000
citizen,Citizen,Warganegara,overall,2012,2052.0,1566.0,7782900
citizen,Citizen,Warganegara,overall,2013,2186.0,1700.0,7903100
citizen,Citizen,Warganegara,overall,2014,2377.0,1800.0,8392400
citizen,Citizen,Warganegara,overall,2015,2487.0,1942.0,8348600
citizen,Citizen,Warganegara,overall,2016,2657.0,2000.0,8424100
citizen,Citizen,Warganegara,overall,2017,2879.0,2160.0,8677100
citizen,Citizen,Warganegara,overall,2018,3087.0,2308.0,8761200
citizen,Citizen,Warganegara,overall,2019,3223.725732210905,2442.0,9195200
citizen,Citizen,Warganegara,overall,2020,2933.0,2062.0,9390700
citizen,Citizen,Warganegara,overall,2021,3036.9,2250.0,9711900
bumiputera,Bumiputera,Bumiputera,overall,2010,1873.0,1465.0,4622700
bumiputera,Bumiputera,Bumiputera,overall,2011,1853.0,1475.0,4888700
bumiputera,Bumiputera,Bumiputera,overall,2012,1948.0,1500.0,5003800
bumiputera,Bumiputera,Bumiputera,overall,2013,2110.0,1600.0,5072000
bumiputera,Bumiputera,Bumiputera,overall,2014,2286.0,1729.0,5480200
bumiputera,Bumiputera,Bumiputera,overall,2015,2398.0,1800.0,5531900
bumiputera,Bumiputera,Bumiputera,overall,2016,2561.0,1931.0,5539500
bumiputera,Bumiputera,Bumiputera,overall,2017,2762.0,2145.0,5707500
bumiputera,Bumiputera,Bumiputera,overall,2018,2961.6811372307775,2302.0,5800600
bumiputera,Bumiputera,Bumiputera,overall,2019,3116.0,2415.0,6222600
bumiputera,Bumiputera,Bumiputera,overall,2020,2817.0,2019.0,6437700
bumiputera,Bumiputera,Bumiputera,overall,2021,2902.6,2127.0,6641300
chinese,Chinese,Cina,overall,2010,2167.0,1800.0,1852900
chinese,Chinese,Cina,overall,2011,2260.0,1800.0,2033300
chinese,Chinese,Cina,overall,2012,2353.0,2000.0,2062199
chinese,Chinese,Cina,overall,2013,2444.0,2000.0,2086699
chinese,Chinese,Cina,overall,2014,2675.0,2000.0,2154800
chinese,Chinese,Cina,overall,2015,2812.0,2300.0,2067699
chinese,Chinese,Cina,overall,2016,3009.0,2350.0,2125600
chinese,Chinese,Cina,overall,2017,3254.0,2440.0,2184500
chinese,Chinese,Cina,overall,2018,3498.3055261320696,2460.0,2166700
chinese,Chinese,Cina,overall,2019,3616.0,2597.0,2124800
chinese,Chinese,Cina,overall,2020,3325.0,2470.0,2162400
chinese,Chinese,Cina,overall,2021,3487.8,2734.0,2277100
indian,Indian ,India,overall,2010,1780.0,1300.0,616800
indian,Indian ,India,overall,2011,1863.0,1300.0,668000
indian,Indian ,India,overall,2012,1949.0,1500.0,666200
indian,Indian ,India,overall,2013,2032.0,1500.0,688500
indian,Indian ,India,overall,2014,2241.0,1600.0,707300
indian,Indian ,India,overall,2015,2291.0,1771.0,689700
indian,Indian ,India,overall,2016,2399.0,1790.0,700600
indian,Indian ,India,overall,2017,2731.0,2000.0,721600
indian,Indian ,India,overall,2018,2925.3269715268166,2122.0,725500
indian,Indian ,India,overall,2019,3108.0,2217.0,758300
indian,Indian ,India,overall,2020,2853.0,2014.0,736400
indian,Indian ,India,overall,2021,2913.5,1930.0,738700
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2010,1146.0,900.0,56800
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2011,1232.0,900.0,44000
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2012,1394.0,950.0,50700
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2013,1291.0,900.0,55900
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2014,1446.0,1086.0,50100
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2015,1825.0,1500.0,59300
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2016,2009.0,1515.0,58300
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2017,2191.0,1600.0,63500
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2018,2345.0497911646007,1732.0,68500
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2019,2401.0,1836.0,89300
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2020,2161.0,1412.0,54100
other_citizen,Other (Citizen),Lain-lain (Warganegara),overall,2021,2244.9,1582.0,54800
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2010,978.0,750.0,1265400
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2011,965.0,800.0,1349399
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2012,1086.0,875.0,1383300
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2013,1237.0,950.0,1637500
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2014,1311.0,1000.0,1754200
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2015,1502.0,1138.0,1801799
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2016,1518.0,1200.0,1731900
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2017,1570.0,1335.0,1839700
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2018,1603.0,1392.0,1733599
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2019,1765.0,1452.0,1760099
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2020,1644.0,1260.0,1581300
other_noncitizen,Non-Citizen,Bukan Warganegara,overall,2021,1551.5,1339.0,1453000
overall,Overall,Keseluruhan,male,2010,1823.3081122929336,1300.0,5440800
overall,Overall,Keseluruhan,male,2011,1841.7678773708444,1350.0,5774200
overall,Overall,Keseluruhan,male,2012,1933.3286490409862,1427.0,5874400
overall,Overall,Keseluruhan,male,2013,2048.497923851892,1500.0,6113400
overall,Overall,Keseluruhan,male,2014,2232.042142874269,1511.0,6420800
overall,Overall,Keseluruhan,male,2015,2345.1301333000724,1600.0,6497700
